time,amplitude,label,wind_speed
0.173,-0.03674,1,1.3
0.174,-0.0206,1,1.3
0.175,-0.034030000000000005,1,1.3
0.176,-0.031129999999999998,1,1.3
0.177,-0.01418,1,1.3
0.178,0.04986,1,1.3
0.179,0.01974,1,1.3
0.18,0.04906,1,1.3
0.181,0.007169999999999999,1,1.3
0.182,-0.02039,1,1.3
0.183,-0.03624,1,1.3
0.184,0.05744,1,1.3
0.185,0.012329999999999999,1,1.3
0.186,0.0091,1,1.3
0.187,0.00215,1,1.3
0.188,0.04906,1,1.3
0.189,0.008620000000000001,1,1.3
0.19,0.06581000000000001,1,1.3
0.191,0.02135,1,1.3
0.192,-0.01337,1,1.3
0.193,0.04777,1,1.3
0.194,-0.04436,1,1.3
0.195,-0.03694,1,1.3
0.196,-0.0234,1,1.3
0.197,-0.0228,1,1.3
0.198,0.08466,1,1.3
0.199,0.0468,1,1.3
0.2,0.07837999999999999,1,1.3
0.201,0.03182,1,1.3
0.202,-0.055900000000000005,1,1.3
0.203,0.10303,1,1.3
0.204,-0.02411,1,1.3
0.205,-0.01899,1,1.3
0.206,0.044219999999999995,1,1.3
0.207,0.03569,1,1.3
0.208,0.0050799999999999994,1,1.3
0.209,-0.03624,1,1.3
0.21,-0.01769,1,1.3
0.211,0.027950000000000003,1,1.3
0.212,0.07257999999999999,1,1.3
0.213,0.012650000000000002,1,1.3
0.214,0.01023,1,1.3
0.215,-0.03213,1,1.3
0.216,-0.019589999999999996,1,1.3
0.217,-0.01779,1,1.3
0.218,0.10094,1,1.3
0.219,0.0634,1,1.3
0.22,-0.0234,1,1.3
0.221,0.00878,1,1.3
0.222,0.04229,1,1.3
0.223,-0.01287,1,1.3
0.224,0.08449999999999999,1,1.3
0.225,0.01249,1,1.3
0.226,0.007330000000000001,1,1.3
0.227,0.00556,1,1.3
0.228,-0.03614,1,1.3
0.229,-0.026909999999999996,1,1.3
0.23,-0.03293,1,1.3
0.231,-0.057600000000000005,1,1.3
0.232,-0.03423,1,1.3
0.233,-0.01588,1,1.3
0.234,-0.01448,1,1.3
0.235,-0.03143,1,1.3
0.236,-0.023,1,1.3
0.237,-0.0211,1,1.3
0.238,0.08112,1,1.3
0.239,0.09287999999999999,1,1.3
0.24,0.010709999999999999,1,1.3
0.241,-0.08458,1,1.3
0.242,-0.13432,1,1.3
0.243,0.09497,1,1.3
0.244,0.02441,1,1.3
0.245,-0.03754,1,1.3
0.246,-0.01307,1,1.3
0.247,0.0352,1,1.3
0.248,0.00653,1,1.3
0.249,0.01007,1,1.3
0.25,-0.011869999999999999,1,1.3
0.251,-0.07024,1,1.3
0.252,-0.01358,1,1.3
0.253,-0.03012,1,1.3
0.254,-0.05229,1,1.3
0.255,-0.047470000000000005,1,1.3
0.256,-0.01658,1,1.3
0.257,-0.03173,1,1.3
0.258,0.05534,1,1.3
0.259,0.030690000000000002,1,1.3
0.26,0.1707,1,1.3
0.261,0.0040999999999999995,1,1.3
0.262,-0.07345,1,1.3
0.263,0.045189999999999994,1,1.3
0.264,0.0294,1,1.3
0.265,-0.00469,1,1.3
0.266,0.00411,1,1.3
0.267,0.01313,1,1.3
0.268,-0.05118,1,1.3
0.269,0.01023,1,1.3
0.27,-0.050280000000000005,1,1.3
0.271,-0.060809999999999996,1,1.3
0.272,0.06452000000000001,1,1.3
0.273,-0.05118,1,1.3
0.274,-0.01498,1,1.3
0.275,-0.023700000000000002,1,1.3
0.276,-0.02822,1,1.3
0.277,-0.0225,1,1.3
0.278,0.03408,1,1.3
0.279,0.03649,1,1.3
0.28,0.03698,1,1.3
0.281,0.09143,1,1.3
0.282,0.013940000000000001,1,1.3
0.283,0.05083,1,1.3
0.284,0.0054,1,1.3
0.285,-0.00664,1,1.3
0.286,0.008140000000000001,1,1.3
0.287,0.01603,1,1.3
0.288,-0.07144,1,1.3
0.289,0.016999999999999998,1,1.3
0.29,-0.05419,1,1.3
0.291,-0.06051,1,1.3
0.292,0.08112,1,1.3
0.293,-0.09611,1,1.3
0.294,-0.051789999999999996,1,1.3
0.295,0.02473,1,1.3
0.296,-0.02491,1,1.3
0.297,-0.01137,1,1.3
0.298,0.02924,1,1.3
0.299,0.02248,1,1.3
0.3,-0.02501,1,1.3
0.301,-0.04497,1,1.3
0.302,0.00234,1,1.3
0.303,-0.012069999999999999,1,1.3
0.304,0.05454,1,1.3
0.305,0.023440000000000003,1,1.3
0.306,-0.016280000000000003,1,1.3
0.307,0.01893,1,1.3
0.308,-0.04065,1,1.3
0.309,0.00669,1,1.3
0.31,0.021670000000000002,1,1.3
0.311,0.00703,1,1.3
0.312,-0.059410000000000004,1,1.3
0.313,-0.04888,1,1.3
0.314,-0.03183,1,1.3
0.315,-0.03494,1,1.3
0.316,0.009430000000000001,1,1.3
0.317,-0.01839,1,1.3
0.318,0.06323999999999999,1,1.3
0.319,0.060340000000000005,1,1.3
0.32,0.07919000000000001,1,1.3
0.321,-0.048979999999999996,1,1.3
0.322,0.02006,1,1.3
0.323,-0.02902,1,1.3
0.324,0.03907,1,1.3
0.325,0.011999999999999999,1,1.3
0.326,0.00215,1,1.3
0.327,0.013940000000000001,1,1.3
0.328,-0.04567,1,1.3
0.329,-0.0233,1,1.3
0.33,-0.04306,1,1.3
0.331,-0.06693,1,1.3
0.332,-0.050879999999999995,1,1.3
0.333,-0.03955,1,1.3
0.334,-0.01057,1,1.3
0.335,-0.044660000000000005,1,1.3
0.336,0.0028200000000000005,1,1.3
0.337,-0.02029,1,1.3
0.338,0.03859,1,1.3
0.339,0.07257999999999999,1,1.3
0.34,-0.032729999999999995,1,1.3
0.341,-0.01949,1,1.3
0.342,-0.0232,1,1.3
0.343,0.08080000000000001,1,1.3
0.344,0.02441,1,1.3
0.345,0.0083,1,1.3
0.346,0.020699999999999996,1,1.3
0.347,0.0141,1,1.3
0.348,-0.03303,1,1.3
0.349,0.02779,1,1.3
0.35,0.07145,1,1.3
0.351,0.01136,1,1.3
0.352,-0.029220000000000003,1,1.3
0.353,-0.01388,1,1.3
0.354,-0.011869999999999999,1,1.3
0.355,-0.03734,1,1.3
0.356,-0.01638,1,1.3
0.357,-0.025509999999999998,1,1.3
0.358,0.07725,1,1.3
0.359,-0.042859999999999995,1,1.3
0.36,0.06323999999999999,1,1.3
0.361,0.16586,1,1.3
